Species,Timestep,GRO,TWD,Temperature,VPD
PISY,2015-01-04T17:00:00Z,0,81.932558,-2.125,0.107457
PISY,2015-01-04T18:00:00Z,0,82.666892,-2.375,0.11307
PISY,2015-01-04T19:00:00Z,0,82.903211,-2.875,0.110563
PISY,2015-01-04T20:00:00Z,0,83.022309,-3.25,0.098889
PISY,2015-01-04T21:00:00Z,0,83.267971,-3.5,0.093978
PISY,2015-01-04T22:00:00Z,0,83.553122,-3.875,0.084896
PISY,2015-01-04T23:00:00Z,0,83.56595,-4.125,0.078774
PISY,2015-01-05T00:00:00Z,0,84.069602,-4.375,0.082232
PISY,2015-01-05T01:00:00Z,0,84.336178,-5,0.078472
PISY,2015-01-05T02:00:00Z,0,84.691948,-5.5,0.062793
PISY,2015-01-05T03:00:00Z,0,84.887392,-5.958333,0.059467
PISY,2015-01-05T04:00:00Z,0,85.220369,-6.5,0.060845
PISY,2015-01-05T05:00:00Z,0,85.459881,-6.833333,0.059737
PISY,2015-01-05T06:00:00Z,0,85.705586,-7,0.055709
PISY,2015-01-05T07:00:00Z,0,85.91508,-7.416665,0.053214
PISY,2015-01-05T08:00:00Z,0,85.931996,-7.416665,0.054058
PISY,2015-01-05T09:00:00Z,0,84.833685,-7.083333,0.055458
PISY,2015-01-05T10:00:00Z,0,96.783143,-4.75,0.092348
PISY,2015-01-05T11:00:00Z,0,96.009101,-3.5,0.12454
PISY,2015-01-05T12:00:00Z,0,95.543208,-2.375,0.135048
PISY,2015-01-05T13:00:00Z,0,95.120034,-2.5,0.139846
PISY,2015-01-05T14:00:00Z,0,95.047134,-2.25,0.15837
PISY,2015-01-05T15:00:00Z,0,95.84345,-2,0.170443
PISY,2015-01-05T16:00:00Z,0,96.257605,-2.625,0.149163
PISY,2015-01-05T17:00:00Z,0,96.323983,-3.125,0.137952
PISY,2015-01-05T18:00:00Z,0,96.412335,-3.25,0.131075
PISY,2015-01-05T19:00:00Z,0,96.815095,-3.625,0.1174
PISY,2015-01-05T20:00:00Z,0,97.955374,-4.125,0.106885
PISY,2015-01-05T21:00:00Z,0,99.137994,-4.375,0.101258
PISY,2015-01-05T22:00:00Z,0,100.095881,-4.625,0.10133
PISY,2015-01-05T23:00:00Z,0,100.357968,-4.75,0.0952
PISY,2015-01-06T00:00:00Z,0,100.525759,-4.875,0.093151
PISY,2015-01-06T01:00:00Z,0,100.507255,-5.125,0.090148
PISY,2015-01-06T02:00:00Z,0,100.585781,-5.125,0.087313
PISY,2015-01-06T03:00:00Z,0,100.705076,-5,0.091945
PISY,2015-01-06T04:00:00Z,0,100.67831,-5,0.092764
PISY,2015-01-06T05:00:00Z,0,100.486704,-5.083333,0.092466
PISY,2015-01-06T06:00:00Z,0,100.428432,-4.75,0.097364
PISY,2015-01-06T07:00:00Z,0,100.285636,-4.75,0.098446
PISY,2015-01-06T08:00:00Z,0,100.135212,-4.75,0.098224
PISY,2015-01-06T09:00:00Z,0,98.692621,-4.25,0.107481
PISY,2015-01-06T10:00:00Z,0,112.206427,-1.25,0.165634
PISY,2015-01-06T11:00:00Z,0,124.332807,-0.125,0.193566
PISY,2015-01-06T12:00:00Z,0,128.43117,0.875,0.232461
PISY,2015-01-06T13:00:00Z,0,129.544072,1.5,0.260585
PISY,2015-01-06T14:00:00Z,0,130.804074,2,0.296892
PISY,2015-01-06T15:00:00Z,0,134.143271,1.875,0.283437
PISY,2015-01-06T16:00:00Z,0,137.381746,1.125,0.284358
PISY,2015-01-06T17:00:00Z,0,139.140738,0.125,0.238443
PISY,2015-01-06T18:00:00Z,0,140.407783,-0.375,0.217251
PISY,2015-01-06T19:00:00Z,0,141.273733,-0.875,0.202511
PISY,2015-01-06T20:00:00Z,0,141.81098,-1.25,0.193989
PISY,2015-01-06T21:00:00Z,0,142.14145,-1.5,0.193468
PISY,2015-01-06T22:00:00Z,0,142.556575,-1.5,0.201286
PISY,2015-01-06T23:00:00Z,0,143.144565,-2,0.187205
PISY,2015-01-07T00:00:00Z,0,143.78339,-2.25,0.181446
PISY,2015-01-07T01:00:00Z,0,144.52445,-2.375,0.182461
PISY,2015-01-07T02:00:00Z,0,145.191459,-2.625,0.175199
PISY,2015-01-07T03:00:00Z,0,146.014293,-2.875,0.169327
PISY,2015-01-07T04:00:00Z,0,147.284701,-3.25,0.161749
PISY,2015-01-07T05:00:00Z,0,148.673368,-3.125,0.165451
PISY,2015-01-07T06:00:00Z,0,150.573569,-3.5,0.155223
PISY,2015-01-07T07:00:00Z,0,153.550322,-3.5,0.154371
PISY,2015-01-07T08:00:00Z,0,156.292388,-3.625,0.149369
PISY,2015-01-07T09:00:00Z,0,157.977981,-3.5,0.15385
PISY,2015-01-07T10:00:00Z,0,154.497991,-1.5,0.195443
PISY,2015-01-07T11:00:00Z,0,155.577937,0.25,0.237657
PISY,2015-01-07T12:00:00Z,0,156.89307,0.625,0.273727
PISY,2015-01-07T13:00:00Z,0,156.671922,0.625,0.303441
PISY,2015-01-07T14:00:00Z,0,157.702935,0.25,0.277819
PISY,2015-01-07T15:00:00Z,0,158.561274,0.375,0.288478
PISY,2015-01-07T16:00:00Z,0,158.902343,-0.75,0.25491
PISY,2015-01-07T17:00:00Z,0,159.288219,-1.375,0.227208
PISY,2015-01-07T18:00:00Z,0,159.873189,-1.75,0.208547
PISY,2015-01-07T19:00:00Z,0,161.010647,-2.375,0.189898
PISY,2015-01-07T20:00:00Z,0,162.367624,-2.75,0.178725
PISY,2015-01-07T21:00:00Z,0,163.724135,-3.25,0.167956
PISY,2015-01-07T22:00:00Z,0,165.256082,-3.5,0.163619
PISY,2015-01-07T23:00:00Z,0,166.328973,-3.875,0.155506
PISY,2015-01-08T00:00:00Z,0,167.818731,-4,0.158826
PISY,2015-01-08T01:00:00Z,0,169.540129,-4.25,0.153701
PISY,2015-01-08T02:00:00Z,0,171.301325,-4.25,0.154352
PISY,2015-01-08T03:00:00Z,0,173.424089,-4.5,0.15518
PISY,2015-01-08T04:00:00Z,0,176.173227,-4.625,0.152874
PISY,2015-01-08T05:00:00Z,0,179.015761,-4.375,0.164728
PISY,2015-01-08T06:00:00Z,0,180.878698,-4.625,0.160259
PISY,2015-01-08T07:00:00Z,0,182.305038,-4.833333,0.154766
PISY,2015-01-08T08:00:00Z,0,183.175528,-4.708333,0.164081
PISY,2015-01-08T09:00:00Z,0,182.69557,-4,0.182975
PISY,2015-01-08T10:00:00Z,0,178.216121,-2,0.218115
PISY,2015-01-08T11:00:00Z,0,185.350448,-0.375,0.263789
PISY,2015-01-08T12:00:00Z,0,194.459756,1.125,0.312998
PISY,2015-01-08T13:00:00Z,0,190.476292,1.625,0.340328
PISY,2015-01-08T14:00:00Z,0,186.897448,2.125,0.39179
PISY,2015-01-08T15:00:00Z,0,183.726434,2.5,0.398413
PISY,2015-01-08T16:00:00Z,0,181.06853,1.5,0.377215
PISY,2015-01-08T17:00:00Z,0,179.768827,0.625,0.342796
PISY,2015-01-08T18:00:00Z,0,178.348858,0.25,0.30235
PISY,2015-01-08T19:00:00Z,0,175.452611,0.25,0.290979
PISY,2015-01-08T20:00:00Z,0,170.119553,0.625,0.28708
PISY,2015-01-08T21:00:00Z,0,166.34175,0.5,0.274806
PISY,2015-01-08T22:00:00Z,0,161.962937,0.75,0.274522
PISY,2015-01-08T23:00:00Z,0,152.34112,1,0.260801
PISY,2015-01-09T00:00:00Z,0,144.396396,1.375,0.278437
PISY,2015-01-09T01:00:00Z,0,139.816686,0.875,0.255686
PISY,2015-01-09T02:00:00Z,0,136.499741,0.75,0.24738
PISY,2015-01-09T03:00:00Z,0,135.836664,-0.25,0.218854
PISY,2015-01-09T04:00:00Z,0,136.059751,-0.5,0.201307
PISY,2015-01-09T05:00:00Z,0,136.759351,-0.875,0.18098
PISY,2015-01-09T06:00:00Z,0,137.273404,-0.875,0.173792
PISY,2015-01-09T07:00:00Z,0,137.561222,-0.75,0.175183
PISY,2015-01-09T08:00:00Z,0,138.315536,-0.875,0.168701
PISY,2015-01-09T09:00:00Z,0,138.155869,-0.125,0.180217
PISY,2015-01-09T10:00:00Z,0,133.286098,1.875,0.254931
PISY,2015-01-09T11:00:00Z,0,127.394423,4,0.33503
